name,total_price,compatible_drinks,cutlery,temperature,healthLabels,dietLabels,ingredients,taste,kcal,type,style,course_type,complexity,season
Copycat Olive Garden Breadsticks,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[balanced],"['butter', 'garlic', 'salt', 'sugar', 'water']","[salty, fatty]",2482.1925,snack,modern,starter,medium,['winter']
Grilled Baby Octopus with a Sweet Chilli Dressing,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[pescatarian, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, pork-free, red-meat-free, celery-free, mustard-free, sesame-free, lupine-free, alcohol-free]",[low-carb],"['cilantro', 'garlic', 'sugar']","[salty, umami, fatty]",1983.6123999997449,snack,gourmet,main_course,low,"['spring', 'summer', 'autumn', 'winter']"
"Bacon, Tomato and Cheddar Breakfast Bake with Eggs",14.0,"[red wine, white wine]","[fork, knife]",hot,"[peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]","[high-fiber, low-carb]","['egg', 'onion']","[salty, umami, fatty]",6190.8853671,snack,modern,main_course,medium,"['spring', 'summer', 'autumn', 'winter']"
reduced fat low carb sour cream coffee cake,56.0,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, egg-free, peanut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'cinnamon', 'cream', 'flour', 'leavening', 'salt', 'sugar', 'vanilla']","[fatty, salty]",4431.002499665487,soup,modern,dessert,medium,"['spring', 'summer', 'autumn', 'winter']"
Honey- Molasses Chicken Drumsticks,10.5,"[red wine, herbal tea]","[fork, knife]",hot,"[dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['garlic', 'honey', 'oil', 'pepper', 'salt', 'sugar', 'water']","[sweet, salty, umami]",1502.4239999991166,cream,sibarita,main_course,medium,"['spring', 'summer']"
Swedish Raspberry Kiss Cookies,14.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'flour', 'leavening', 'sugar']","[sweet, fatty]",2656.09556564375,fish,regional,dessert,low,"['spring', 'summer', 'autumn', 'winter']"
Poppy Seed Bread 5,112.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'egg', 'flour', 'leavening', 'milk', 'salt', 'sugar', 'vanilla']","[sweet, salty, fatty]",6242.28825000344,meat,modern,starter,medium,['autumn']
Roasted Poblano And Chicken Enchiladas With Sour Cream Sauce,28.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[high-fiber],"['butter', 'cream', 'cumin', 'flour', 'garlic']","[salty, sour, umami]",7151.994892598078,egg,classic,main_course,high,['summer']
Coconut Dream Dessert,14.0,"[sparkling water, white wine]","[fork, knife]",hot,"[vegan, vegetarian, pescatarian, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, kosher]",[low-sodium],['sugar'],[fatty],1644.0572916668996,tapas,fusion,dessert,low,"['spring', 'summer', 'autumn', 'winter']"
Italian Sausage Spaghetti,14.0,"[red wine, white wine]","[fork, knife]",hot,"[peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]","[balanced, high-fiber]",['oil'],"[salty, fatty, sweet]",3863.1777944293567,fruit,classical,main_course,medium,['winter']
Apple Pie French Toast #Recipe,14.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[balanced],"['egg', 'milk', 'sugar']",[neutral],462.357,vegetable,sibarita,dessert,low,['autumn']
Blueberry and Banana Cream Cheese Pie,56.0,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],['cream'],"[fatty, salty]",5515.648412381251,rice,classic,dessert,high,"['spring', 'summer', 'autumn', 'winter']"
Creamy Cheesy Butternut Squash Pasta,14.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[high-fiber],"['butter', 'cheese', 'cream', 'garlic', 'pepper', 'salt']","[salty, fatty]",3765.401776481978,salad,regional,main_course,medium,['winter']
Steak Diane,14.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, keto-friendly, egg-free, peanut-free, tree-nut-free, soy-free, shellfish-free, pork-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, sulfite-free]",[low-carb],"['garlic', 'oil', 'parsley']",[fatty],2406.675602630404,snack,sibarita,main_course,high,"['spring', 'summer', 'autumn', 'winter']"
Caprese Flatbread with Balsamic Reduction,28.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[balanced],"['garlic', 'honey', 'oil', 'pepper', 'salt']","[salty, fatty, sweet]",3053.736237100464,snack,fusion,starter,medium,"['spring', 'summer', 'autumn', 'winter']"
Breakfast Popsicles,10.5,"[red wine, herbal tea]",[],warm,"[kidney-friendly, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]","[balanced, low-sodium]",['honey'],[neutral],301.68250000081423,snack,classic,dessert,low,['autumn']
Cashew Chicken 4,14.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, egg-free, peanut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, lupine-free, mollusk-free, kosher]",[],"['carrots', 'salt', 'sugar']","[salty, sour, umami]",1220.8829364994672,snack,sibarita,main_course,medium,['winter']
Cranberry Pecan Streusel Muffins,42.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'cinnamon', 'egg', 'flour', 'leavening', 'salt', 'sugar']","[fatty, salty]",2656.3916143804645,egg,sibarita,dessert,low,['spring']
Classic Chocolate Chip Cookies,168.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'egg', 'flour', 'leavening', 'salt', 'sugar', 'vanilla']","[sweet, salty, fatty]",6443.266,snack,classic,dessert,medium,['summer']
Shrimp Quesadillas,7.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, pork-free, red-meat-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[],"['butter', 'cilantro', 'cumin', 'garlic', 'salt']",[salty],1817.9363197,fish,fusion,main_course,high,['autumn']
Sausage Balls And Eggs Breakfast Scramble For One,21.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, gluten-free, wheat-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, fodmap-free, kosher]",[low-carb],"['egg', 'pepper', 'salt']","[salty, fatty]",1122.99975,poultry,regional,main_course,low,['winter']
Rum Cake - Semi-Homemaker,63.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, kosher]",[],"['butter', 'egg', 'sugar', 'vanilla', 'water']","[sweet, salty, fatty]",6353.948327496874,vegetable,modern,dessert,medium,['summer']
Queso · Restaurant Style,21.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],['cumin'],[salty],1331.174538622405,meat,fusion,main_course,low,"['spring', 'summer', 'autumn', 'winter']"
Sun-Dried Tomato Chicken Pasta,14.0,"[red wine, white wine]","[fork, knife]",hot,"[mediterranean, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[],"['cheese', 'garlic', 'oil', 'parsley', 'pepper', 'salt']","[umami, fatty, salty]",3036.790994313484,tapas,classical,main_course,medium,['winter']
Creamy Seafood Lasagna,28.0,"[red wine, white wine]","[fork, knife]",hot,"[peanut-free, tree-nut-free, soy-free, pork-free, red-meat-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free]",[low-carb],"['butter', 'cheese', 'egg', 'flour', 'garlic', 'onion', 'parsley', 'pepper', 'salt']","[salty, umami, fatty]",4442.661997112501,soup,classic,main_course,high,['spring']
Mongolian Beef,7.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, egg-free, peanut-free, tree-nut-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, kosher]",[],"['garlic', 'sugar']","[sweet, salty]",1344.8187993872486,cream,regional,main_course,high,['winter']
Tortilla Baked Eggs,42.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['butter', 'egg', 'parsley']","[salty, fatty]",2679.9399999999177,legume,sibarita,main_course,low,['winter']
Beef Stroganoff Pies,14.0,"[red wine, white wine]","[fork, knife]",hot,"[peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['butter', 'cream', 'egg', 'flour', 'garlic', 'lemon', 'onion', 'parsley', 'salt']","[salty, umami, fatty]",2643.6370000014435,rice,fusion,main_course,high,['autumn']
Chocolate Berry Angel Torte,42.0,"[red wine, white wine]",[],warm,"[kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, kosher]",[],['sugar'],"[fatty, salty]",2652.948426562528,pasta,classic,dessert,low,['winter']
Grilled Chicken Fajitas,14.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, egg-free, peanut-free, tree-nut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['oil', 'onion']",[salty],1993.4421651538464,broth,fusion,main_course,medium,['summer']
Honey-Soy Pork Chops 3,14.0,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, dairy-free, egg-free, peanut-free, tree-nut-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, no oil added]",[],"['honey', 'lemon']",[sweet],465.4305548591294,fish,sibarita,main_course,low,['spring']
Peach Pudding 5,14.0,"[red wine, herbal tea]",[],warm,"[gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[],['milk'],"[sweet, salty]",753.5241976104653,meat,modern,dessert,low,['summer']
Concorde cake,35.0,"[red wine, herbal tea]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, gluten-free, wheat-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'sugar']",[sweet],2532.3553333342934,egg,regional,dessert,high,['autumn']
Almond And Coffee Cream Mini Tarts,28.0,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'cream', 'flour', 'milk', 'salt', 'sugar']","[sweet, fatty]",3712.8054999989463,snack,fusion,dessert,high,['winter']
Potato and Leek Flatbread,28.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, vegetarian, pescatarian, mediterranean, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[balanced],"['flour', 'oil', 'pepper', 'salt']","[salty, fatty]",3096.8491059781795,fish,classical,starter,medium,['spring']
Spicy Gochujang Wings,17.5,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, egg-free, peanut-free, tree-nut-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['garlic', 'honey', 'salt', 'water']","[sweet, salty, umami]",7221.207665666543,fish,classic,main_course,low,"['spring', 'summer', 'autumn', 'winter']"
Reuben Eggs Benedict,7.0,"[red wine, white wine]","[fork, knife]",hot,"[peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free]","[high-fiber, low-carb]","['butter', 'egg', 'pepper', 'salt', 'water']","[salty, fatty]",2193.735245722031,meat,sibarita,main_course,medium,['winter']
Fillet of Pork in Whisky Sauce,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, keto-friendly, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, sulfite-free]",[],"['butter', 'cumin', 'garlic', 'lemon', 'oil', 'onion', 'pepper', 'salt']","[fatty, salty]",2212.7487204282606,egg,modern,main_course,high,['autumn']
Peanut Butter Protein Fudge,31.5,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, egg-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'honey', 'oil']","[sweet, umami, fatty]",2399.53753642971,snack,sibarita,dessert,low,['summer']
No Bake Snickers Slice,63.0,"[red wine, herbal tea]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, gluten-free, wheat-free, tree-nut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[low-sodium],['butter'],[fatty],6280.6,legume,sibarita,dessert,low,"['spring', 'summer', 'autumn', 'winter']"
Maple-Pumpkin Coconut Macaroons,14.0,"[sparkling water, white wine]","[fork, knife]",hot,"[vegan, vegetarian, pescatarian, paleo, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, fodmap-free, kosher]","[high-fiber, low-carb, low-sodium]","['oil', 'vanilla']","[fatty, sweet]",2980.834,vegetable,sibarita,dessert,medium,['winter']
Roast Lamb with Marionberry-Pecan Crust,14.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[],"['butter', 'parsley']",[fatty],2467.5915,pasta,regional,main_course,high,['autumn']
Chicken and lentil korma,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[low-carb],"['oil', 'onion', 'water']","[umami, fatty, salty]",4733.726360009179,rice,fusion,main_course,medium,['spring']
Wild Rice Cakes with Lager Cream Sauce,840.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, mustard-free, sesame-free, lupine-free, mollusk-free, kosher]",[low-sodium],"['butter', 'celery', 'cream', 'egg', 'flour']","[fatty, sweet]",2424.1927868449093,soup,sibarita,main_course,medium,"['spring', 'winter']"
White Chocolate Crème Brûlée,21.0,"[red wine, herbal tea]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, gluten-free, wheat-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],['sugar'],"[sweet, fatty]",2713.17,broth,regional,dessert,high,['autumn']
Deviled Eggs with Two Caviars,42.0,"[red wine, white wine]",[spoon],hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, dairy-free, peanut-free, tree-nut-free, soy-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]","[low-carb, low-sodium]","['pepper', 'salt']",[salty],687.0553450117195,salad,fusion,starter,low,"['spring', 'summer', 'autumn', 'winter']"
Sausage and Ham Jambalaya for Mardi Gras,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]","[balanced, high-fiber]","['celery', 'garlic', 'oil', 'onion', 'pepper', 'salt']","[salty, umami, fatty]",4008.036290177778,vegetable,modern,main_course,medium,['summer']
Carrot Layer Cake,42.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'carrots', 'cinnamon', 'cream', 'egg', 'flour', 'leavening', 'oil', 'salt', 'vanilla']","[sweet, salty, fatty]",9274.362688948026,fish,sibarita,dessert,low,"['spring', 'summer', 'autumn', 'winter']"
Chocolate and Mint Mini Cheesecakes,56.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, kosher]",[],"['butter', 'cream', 'egg', 'sugar', 'vanilla', 'water']","[sweet, fatty, salty]",5983.867294996839,meat,classical,dessert,medium,"['spring', 'summer', 'autumn', 'winter']"
This Cookie Concoction Is Out-of-control Good,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, kosher]",[high-fiber],"['butter', 'cinnamon', 'cream', 'egg', 'leavening', 'salt', 'sugar', 'vanilla']","[sweet, salty, fatty]",7756.136647499999,egg,fusion,dessert,low,"['spring', 'summer', 'autumn', 'winter']"
Chocolate Oatmeal Cake 4,42.0,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'egg', 'flour', 'leavening', 'salt', 'sugar', 'vanilla', 'water']","[salty, fatty]",7152.532265999999,fruit,sibarita,dessert,low,"['spring', 'summer', 'autumn', 'winter']"
Gluten Free Oatmeal Breakfast Cookies,14.0,"[red wine, white wine]",[],warm,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['egg', 'honey', 'leavening', 'oil', 'salt']","[sweet, fatty, salty]",2735.7138182625,snack,classic,dessert,medium,['winter']
Rosé spring chicken stew with bacon and potatoes,21.0,"[red wine, white wine]","[fork, knife]",hot,[],[],"['pepper', 'salt']","[salty, sour, umami]",4812.868190784514,soup,sibarita,main_course,low,"['spring', 'summer', 'autumn', 'winter']"
Chocolate Chip Banana Bread,35.0,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'egg', 'flour', 'leavening', 'salt', 'vanilla']","[sweet, fatty, salty]",3393.5170000000007,snack,sibarita,dessert,low,['autumn']
Snickerdoodle Pumpkin Cookies,84.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'cinnamon', 'cream', 'egg', 'flour', 'leavening', 'salt', 'sugar', 'vanilla']","[sweet, fatty, salty]",5909.5636475,pasta,sibarita,dessert,low,['winter']
Keto Low Carb Baked Crack Chicken Cups,28.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, keto-friendly, gluten-free, wheat-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free]","[high-protein, low-carb]","['cheese', 'egg', 'pepper']","[umami, fatty, salty]",2442.041759375,rice,sibarita,main_course,medium,['spring']
Non-Bake Blueberry Cheesecake 免烤蓝莓芝士蛋糕 (中英食谱）,14.0,"[red wine, white wine]","[fork, knife]",hot,[kidney-friendly],[],"['butter', 'cream', 'vanilla', 'water']","[sweet, fatty, salty]",2489.8897500000003,salad,modern,dessert,low,['summer']
Festival Food,21.0,"[red wine, herbal tea]",[],warm,"[vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'cinnamon', 'milk', 'sugar', 'vanilla']",[fatty],890.7773750005157,vegetable,regional,dessert,medium,['autumn']
Frisee Salad with Winter Spiced Poached Pears,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[gluten-free, wheat-free, egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free]",[high-fiber],"['pepper', 'salt']","[fatty, salty]",1994.2550416665756,fish,regional,starter,medium,['winter']
Bob Andy Pie,21.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'cinnamon', 'egg', 'flour', 'milk', 'sugar']",[fatty],1420.6977500019973,meat,classical,dessert,low,['spring']
Caramel Apple Bars 2,52.5,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'flour', 'leavening', 'salt', 'sugar']","[salty, fatty]",6073.906996725,poultry,classic,dessert,low,"['spring', 'summer', 'autumn', 'winter']"
Instant Pot Rustic Country Bread,21.0,"[sparkling water, white wine]","[fork, knife]",hot,"[sugar-conscious, low potassium, kidney-friendly, vegan, vegetarian, pescatarian, dairy-free, egg-free, peanut-free, tree-nut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[low-fat],"['salt', 'water']",[salty],1659.6804818167434,egg,fusion,starter,low,['autumn']
Flank Steak With Blue Cheese-Honey Nectarines and Basil-Buttered Corn,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[high-fiber],"['butter', 'garlic', 'honey', 'lemon', 'oil', 'pepper', 'salt']","[salty, umami, fatty]",3543.5539951728297,tapas,sibarita,main_course,high,['summer']
